2025/02/19 13:39:50 [crit] 18992#10356: *1666 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/css/style.css" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/css/style.css?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 13:39:50 [crit] 18992#10356: *1667 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 14:25:49 [crit] 18992#10356: *5415 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 14:25:49 [crit] 18992#10356: *5414 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/css/style.css" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/css/style.css?ver=6.7.2 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 14:25:50 [crit] 18992#10356: *5439 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/css/style.css" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/css/style.css?ver=6.7.2 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 14:25:50 [crit] 18992#10356: *5450 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 16:42:20 [crit] 22868#13460: *1081 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 16:42:22 [crit] 22868#13460: *1097 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 16:42:23 [crit] 22868#13460: *1112 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 16:42:23 [crit] 22868#13460: *1127 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
2025/02/19 16:42:29 [crit] 22868#13460: *1142 CreateFile() "C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-content/plugins/C:/Users/alfath/Local Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-content/plugins/C:/Users/alfath/Local%20Sites/wp-plugin-alfath/app/public/wp-includes/assets/js/popup.js?ver=1.0.0 HTTP/1.1", host: "wp-plugin-alfath.local", referrer: "http://wp-plugin-alfath.local/"
